,site_no,analyze_start,analyze_end,analyze_range,quantile,valid,missing,threshold,hmf_years,annual_hmf,six_mo_hmf,three_mo_hmf,annual_duration,event_duration,event_hmf,inter_annual,intra_annual,timing,jan_hmf,feb_hmf,mar_hmf,apr_hmf,may_hmf,jun_hmf,jul_hmf,aug_hmf,sep_hmf,oct_hmf,nov_hmf,dec_hmf,dec_lat_va,dec_long_va,data_start,data_end,total_record,State,HCDN_2009
1166,9498500,1990-10-01,2020-09-30,30,0.9,True,0.0,1770.0,26,0.2330598455442277,0.2212654694301615,0.1251762148515855,42.07692307692308,14.70384615384615,0.1109677654545112,0.87,3.384615384615385,186.6153846153846,0.1180088239189248,0.09343297255694401,0.0952383899719392,0.07381807738115329,0.01712602882368,0.0014190138168192,0.008403987001334401,0.030459865550688,0.0052682926762368,0.0030826851882624,0.0152829419121792,0.02943964354790592,33.6194949,-110.9215037,1913-10-01,2020-09-30,107.0,AZ,False
1167,9428510,1990-10-01,2020-09-30,30,0.9,True,0.03322077210915397,193.0,26,0.003840088517942622,0.001205597149939495,0.0006185131179013662,39.65384615384615,1.783572844390214,0.0001670318181872761,0.87,18.76923076923077,222.6538461538462,0.000549827077758336,0.0001917225564417164,0.00027992901874896,0.000641165898151296,0.0005828606448395294,0.00052832439712416,0.0008754877441518822,0.000941075283861216,0.0005566678948739012,0.000297084173472,0.0002079589214304,0.00038166578521344,33.99946154,-114.4455106,1969-10-01,2020-09-30,51.0,AZ,False
1169,9513860,1990-10-01,2020-09-30,30,0.9,True,0.0,0.0,26,0.001043177468339974,0.0006056243697256549,0.0005100376041246528,8.346153846153847,1.644923132423133,0.0002209851429684874,0.87,4.884615384615385,200.4615384615385,0.0008689918285423469,0.000340046816754624,0.0001415784337098163,1.14499735564032e-05,5.749452533664e-07,4.89315109248e-08,0.0001033977194186496,0.0004540561916643029,0.0001641468698361072,0.0003674441910739391,0.000176336932495248,0.0002517730118376481,33.72920456,-112.1198755,1967-10-01,2020-09-30,53.0,AZ,False
1171,9494000,1990-10-01,2020-09-30,30,0.9,True,0.0,411.3000000000011,25,0.03324418595793522,0.025466453792323,0.006939202649196127,43.84,13.01104761904762,0.009800334390851468,0.83,3.4,210.12,0.01208351429410203,0.008035043408961386,0.01017612322199419,0.01980452225616388,0.0119296654685026,0.001504888618492209,0.004768865054731001,0.004366941623994686,0.001521076793356503,0.0,0.002747748995982136,0.002098917161119291,33.73644059,-110.166767,1917-10-01,2020-09-30,103.0,AZ,False
1172,9484500,1990-10-01,2020-09-30,30,0.9,True,0.0,12.0,25,0.01970774341679211,0.01666909658836203,0.01239368624870326,43.64,9.912222222222223,0.004279701578798529,0.83,4.56,179.92,0.01114168872707332,0.006712271757692424,0.006033010639473216,0.00230253341095512,1.957260436992e-05,0.0,0.003861112129809581,0.001505482786839168,0.0004271965561289664,0.002996688057812064,0.002007170578135296,0.004415059648550376,32.26535338,-110.841199,1940-06-01,2020-09-30,80.3,AZ,False
1173,9530000,1990-10-01,2020-09-30,30,0.9,True,0.03322077210915397,82.36000000000023,25,0.000802829086045355,0.0003654029082424629,5.931282028260285e-05,42.4,4.940826210826211,0.0001062425131231763,0.83,7.2,140.04,6.63817110083541e-05,2.333054440894331e-05,0.000183321905679759,0.0001351375412871571,0.0001988398671216794,0.0001556456994172352,0.0001670801391606492,0.0001957260436991954,0.0001264335873951332,0.000322148757425233,0.0003690740764021158,8.351140969535222e-05,32.73726888,-114.621897,1966-10-01,2020-09-30,54.0,AZ,False
1174,9529250,1990-10-01,2020-09-30,30,0.9,True,0.03322077210915397,6.05,25,0.0003469478995820759,0.0002616064513781322,0.0001561756820489027,42.28,1.972235904046094,1.310589032300927e-05,0.83,14.96,98.76,6.61669160670178e-05,4.42921920452424e-05,2.4343426685088e-05,3.959957276985601e-06,6.892352824550401e-06,1.018264742345088e-05,7.225553113228801e-06,1.60373027056032e-05,5.907256656396481e-05,7.13910744392832e-05,0.0001193285030895057,0.0001218164356093756,32.7153248,-114.5335608,1966-10-01,2020-09-30,54.0,AZ,False
1175,9520500,1990-10-01,2020-09-30,30,0.9,True,0.0,64.0300000000001,24,0.2932356903321529,0.1891714333473332,0.04403494380121356,45.66666666666666,32.23263888888889,0.2628615226311636,0.8,2.041666666666667,210.125,0.04766008433123219,0.1557421243963535,0.2604287642780863,0.2109516739966905,0.1408260593027287,0.09850431415415452,0.09896820730466412,0.02387908412195126,0.01526626219804608,0.03162976089013721,0.04590317029585845,0.006637934598532875,32.7608789,-114.4205019,1905-01-01,2020-09-30,115.7,AZ,False
1176,9444500,1990-10-01,2020-09-30,30,0.9,True,0.0,417.0,24,0.08676698622221952,0.06994331335979569,0.04590285427985041,45.58333333333334,9.660515873015873,0.0198811337678087,0.8,4.666666666666667,204.125,0.04907986236928564,0.03596221395418176,0.02791298040705216,0.01193194893901248,0.02123994560468256,0.00429129350810496,0.00141350902184016,0.0109719126946679,0.01156190438764368,0.0121533640259472,0.01778578869598272,0.0144714943560096,33.05604444,-109.2990167,1910-10-23,2020-09-30,109.9,AZ,False
1177,9497500,1990-10-01,2020-09-30,30,0.9,True,0.0,1340.0,24,0.1726150794455304,0.1604250167863896,0.0784035715986936,45.54166666666666,12.73263888888889,0.05210097673020553,0.8,3.791666666666667,190.7083333333333,0.06990995524321329,0.05758190303472,0.06364315598574316,0.07171646898693312,0.01992001809748608,0.0027890961227136,0.0131625764387712,0.020918220920352,0.005137808647104,0.0023731782798528,0.0140433436354176,0.0185232953023104,33.79810588,-110.4998292,1924-09-18,2020-09-30,96.0,AZ,False
1178,9529420,1990-10-01,2020-09-30,30,0.9,True,0.03322077210915397,8.17,24,0.0002377469981123496,0.0001051680886680816,5.852004825310561e-05,44.125,1.583621224578158,7.052970507270834e-06,0.8,21.625,235.0833333333333,6.10175941232256e-05,3.70411537700736e-05,3.1889583135522e-05,2.250360187431552e-05,2.51372045289792e-05,4.13991164618136e-05,3.44783658853872e-05,3.308633635768094e-05,3.056674227191849e-05,2.32592878961604e-05,1.598621245154937e-05,2.93449261231872e-05,32.693659,-114.58134,1966-10-01,2020-09-30,54.0,AZ,False
