,datetime,00060_Mean,site_no
15439,1991-01-08 00:00:00+00:00,0.0,11447650
15440,1991-01-09 00:00:00+00:00,0.0,11447650
15441,1991-01-10 00:00:00+00:00,0.0,11447650
15442,1991-01-11 00:00:00+00:00,0.0,11447650
15443,1991-01-12 00:00:00+00:00,0.0,11447650
15444,1991-01-13 00:00:00+00:00,0.0,11447650
15445,1991-01-14 00:00:00+00:00,0.0,11447650
15446,1991-01-15 00:00:00+00:00,0.0,11447650
15447,1991-01-16 00:00:00+00:00,0.0,11447650
15448,1991-01-17 00:00:00+00:00,0.0,11447650
15449,1991-01-18 00:00:00+00:00,0.0,11447650
15450,1991-01-19 00:00:00+00:00,0.0,11447650
15451,1991-01-20 00:00:00+00:00,0.0,11447650
15452,1991-01-21 00:00:00+00:00,0.0,11447650
15453,1991-01-22 00:00:00+00:00,0.0,11447650
15454,1991-01-23 00:00:00+00:00,0.0,11447650
15455,1991-01-24 00:00:00+00:00,0.0,11447650
15456,1991-01-25 00:00:00+00:00,0.0,11447650
15457,1991-01-26 00:00:00+00:00,0.0,11447650
15458,1991-01-27 00:00:00+00:00,0.0,11447650
15459,1991-01-28 00:00:00+00:00,0.0,11447650
15460,1991-01-29 00:00:00+00:00,0.0,11447650
15461,1991-01-30 00:00:00+00:00,0.0,11447650
15462,1991-01-31 00:00:00+00:00,0.0,11447650
15463,1991-02-01 00:00:00+00:00,0.0,11447650
15464,1991-02-02 00:00:00+00:00,0.0,11447650
15465,1991-02-03 00:00:00+00:00,0.0,11447650
15466,1991-02-04 00:00:00+00:00,0.0,11447650
15467,1991-02-05 00:00:00+00:00,0.0,11447650
15468,1991-02-06 00:00:00+00:00,0.0,11447650
15469,1991-02-07 00:00:00+00:00,0.0,11447650
15470,1991-02-08 00:00:00+00:00,0.0,11447650
15471,1991-02-09 00:00:00+00:00,0.0,11447650
15472,1991-02-10 00:00:00+00:00,0.0,11447650
15473,1991-02-11 00:00:00+00:00,0.0,11447650
15474,1991-02-12 00:00:00+00:00,0.0,11447650
15475,1991-02-13 00:00:00+00:00,0.0,11447650
15476,1991-02-14 00:00:00+00:00,0.0,11447650
15477,1991-02-15 00:00:00+00:00,0.0,11447650
15478,1991-02-16 00:00:00+00:00,0.0,11447650
15479,1991-02-17 00:00:00+00:00,0.0,11447650
15480,1991-02-18 00:00:00+00:00,0.0,11447650
15481,1991-02-19 00:00:00+00:00,0.0,11447650
15482,1991-02-20 00:00:00+00:00,0.0,11447650
15483,1991-02-21 00:00:00+00:00,0.0,11447650
15484,1991-02-22 00:00:00+00:00,0.0,11447650
15485,1991-02-23 00:00:00+00:00,0.0,11447650
15486,1991-02-24 00:00:00+00:00,0.0,11447650
15487,1991-02-25 00:00:00+00:00,0.0,11447650
15488,1991-02-26 00:00:00+00:00,0.0,11447650
15489,1991-02-27 00:00:00+00:00,0.0,11447650
15490,1991-02-28 00:00:00+00:00,0.0,11447650
15491,1991-03-01 00:00:00+00:00,0.0,11447650
15492,1991-03-02 00:00:00+00:00,0.0,11447650
15493,1991-03-03 00:00:00+00:00,0.0,11447650
15494,1991-03-04 00:00:00+00:00,0.0,11447650
15495,1991-03-05 00:00:00+00:00,0.0,11447650
15496,1991-03-06 00:00:00+00:00,0.0,11447650
15497,1991-03-07 00:00:00+00:00,0.0,11447650
15498,1991-03-08 00:00:00+00:00,0.0,11447650
15499,1991-03-09 00:00:00+00:00,0.0,11447650
15500,1991-03-10 00:00:00+00:00,0.0,11447650
15501,1991-03-11 00:00:00+00:00,0.0,11447650
15502,1991-03-12 00:00:00+00:00,0.0,11447650
15503,1991-03-13 00:00:00+00:00,0.0,11447650
15504,1991-03-14 00:00:00+00:00,0.0,11447650
15505,1991-03-15 00:00:00+00:00,0.0,11447650
15506,1991-03-16 00:00:00+00:00,0.0,11447650
15507,1991-03-17 00:00:00+00:00,0.0,11447650
15508,1991-03-18 00:00:00+00:00,0.0,11447650
15509,1991-03-19 00:00:00+00:00,0.0,11447650
15510,1991-03-20 00:00:00+00:00,0.0,11447650
15511,1991-03-21 00:00:00+00:00,0.0,11447650
15512,1991-03-22 00:00:00+00:00,0.0,11447650
15513,1991-03-23 00:00:00+00:00,0.0,11447650
15514,1991-03-24 00:00:00+00:00,0.0,11447650
15515,1991-03-25 00:00:00+00:00,0.0,11447650
15516,1991-03-26 00:00:00+00:00,0.0,11447650
15517,1991-03-27 00:00:00+00:00,0.0,11447650
15518,1991-03-28 00:00:00+00:00,0.0,11447650
15519,1991-03-29 00:00:00+00:00,0.0,11447650
15520,1991-03-30 00:00:00+00:00,0.0,11447650
15521,1991-03-31 00:00:00+00:00,0.0,11447650
15522,1991-04-01 00:00:00+00:00,0.0,11447650
15523,1991-04-02 00:00:00+00:00,0.0,11447650
15524,1991-04-03 00:00:00+00:00,0.0,11447650
15525,1991-04-04 00:00:00+00:00,0.0,11447650
15526,1991-04-05 00:00:00+00:00,0.0,11447650
15527,1991-04-06 00:00:00+00:00,0.0,11447650
15528,1991-04-07 00:00:00+00:00,0.0,11447650
15529,1991-04-08 00:00:00+00:00,0.0,11447650
15530,1991-04-09 00:00:00+00:00,0.0,11447650
15531,1991-04-10 00:00:00+00:00,0.0,11447650
15532,1991-04-11 00:00:00+00:00,0.0,11447650
15533,1991-04-12 00:00:00+00:00,0.0,11447650
15534,1991-04-13 00:00:00+00:00,0.0,11447650
15535,1991-04-14 00:00:00+00:00,0.0,11447650
15536,1991-04-15 00:00:00+00:00,0.0,11447650
15537,1991-04-16 00:00:00+00:00,0.0,11447650
15538,1991-04-17 00:00:00+00:00,0.0,11447650
15539,1991-04-18 00:00:00+00:00,0.0,11447650
15540,1991-04-19 00:00:00+00:00,0.0,11447650
15541,1991-04-20 00:00:00+00:00,0.0,11447650
15542,1991-04-21 00:00:00+00:00,0.0,11447650
15543,1991-04-22 00:00:00+00:00,0.0,11447650
15544,1991-04-23 00:00:00+00:00,0.0,11447650
