,index,datetime,00060_Mean,00060_Mean_cd,site_no,flow_bool
88,3290,1991-03-26 00:00:00+00:00,0.0,"A, e",09516500,0
89,3291,1991-03-27 00:00:00+00:00,0.0,"A, e",09516500,0
90,3292,1991-03-28 00:00:00+00:00,0.0,"A, e",09516500,0
91,3293,1991-03-29 00:00:00+00:00,0.0,"A, e",09516500,0
92,3294,1991-03-30 00:00:00+00:00,0.0,"A, e",09516500,0
93,3295,1991-03-31 00:00:00+00:00,0.0,"A, e",09516500,0
94,3296,1991-04-01 00:00:00+00:00,0.0,A,09516500,0
95,3297,1991-04-02 00:00:00+00:00,0.0,A,09516500,0
96,3298,1991-04-03 00:00:00+00:00,0.0,A,09516500,0
97,3299,1991-04-04 00:00:00+00:00,0.0,A,09516500,0
98,3300,1991-04-05 00:00:00+00:00,0.0,A,09516500,0
99,3301,1991-04-06 00:00:00+00:00,8683200.0,A,09516500,1
100,3302,1991-04-07 00:00:00+00:00,0.0,A,09516500,0
101,3303,1991-04-08 00:00:00+00:00,0.0,A,09516500,0
102,3304,1991-04-09 00:00:00+00:00,0.0,A,09516500,0
103,3305,1991-04-10 00:00:00+00:00,0.0,A,09516500,0
104,3306,1991-04-11 00:00:00+00:00,0.0,A,09516500,0
105,3307,1991-04-12 00:00:00+00:00,0.0,A,09516500,0
106,3308,1991-04-13 00:00:00+00:00,0.0,A,09516500,0
107,3309,1991-04-14 00:00:00+00:00,0.0,A,09516500,0
108,3310,1991-04-15 00:00:00+00:00,0.0,A,09516500,0
109,3311,1991-04-16 00:00:00+00:00,0.0,A,09516500,0
110,3312,1991-04-17 00:00:00+00:00,0.0,A,09516500,0
111,3313,1991-04-18 00:00:00+00:00,0.0,A,09516500,0
112,3314,1991-04-19 00:00:00+00:00,0.0,A,09516500,0
113,3315,1991-04-20 00:00:00+00:00,0.0,A,09516500,0
114,3316,1991-04-21 00:00:00+00:00,0.0,A,09516500,0
115,3317,1991-04-22 00:00:00+00:00,0.0,A,09516500,0
116,3318,1991-04-23 00:00:00+00:00,0.0,A,09516500,0
117,3319,1991-04-24 00:00:00+00:00,0.0,A,09516500,0
118,3320,1991-04-25 00:00:00+00:00,0.0,A,09516500,0
119,3321,1991-04-26 00:00:00+00:00,0.0,A,09516500,0
120,3322,1991-04-27 00:00:00+00:00,0.0,A,09516500,0
121,3323,1991-04-28 00:00:00+00:00,0.0,A,09516500,0
122,3324,1991-04-29 00:00:00+00:00,0.0,A,09516500,0
123,3325,1991-04-30 00:00:00+00:00,0.0,A,09516500,0
124,3326,1991-04-30 00:00:00+00:00,0.0,A,09516500,0
125,3327,1991-05-01 00:00:00+00:00,0.0,A,09516500,0
126,3328,1991-05-02 00:00:00+00:00,0.0,A,09516500,0
127,3329,1991-05-03 00:00:00+00:00,0.0,A,09516500,0
128,3330,1991-05-04 00:00:00+00:00,0.0,A,09516500,0
129,3331,1991-05-05 00:00:00+00:00,0.0,"A, e",09516500,0
130,3332,1991-05-06 00:00:00+00:00,0.0,"A, e",09516500,0
131,3333,1991-05-07 00:00:00+00:00,4104000.0,A,09516500,1
132,3334,1991-05-08 00:00:00+00:00,354239.99999999994,A,09516500,1
133,3335,1991-05-09 00:00:00+00:00,0.0,A,09516500,0
134,3336,1991-05-10 00:00:00+00:00,0.0,A,09516500,0
135,3337,1991-05-11 00:00:00+00:00,0.0,A,09516500,0
136,3338,1991-05-12 00:00:00+00:00,0.0,A,09516500,0
137,3339,1991-05-13 00:00:00+00:00,52747200.0,A,09516500,1
138,3340,1991-05-14 00:00:00+00:00,63028800.0,A,09516500,1
139,3341,1991-05-15 00:00:00+00:00,21988800.0,A,09516500,1
140,3342,1991-05-16 00:00:00+00:00,16632000.0,A,09516500,1
141,3343,1991-05-17 00:00:00+00:00,11707200.0,A,09516500,1
142,3344,1991-05-18 00:00:00+00:00,11361600.0,A,09516500,1
143,3345,1991-05-19 00:00:00+00:00,5486400.0,A,09516500,1
144,3346,1991-05-20 00:00:00+00:00,2548800.0,A,09516500,1
145,3347,1991-05-21 00:00:00+00:00,2030400.0,A,09516500,1
146,3348,1991-05-22 00:00:00+00:00,1857600.0,A,09516500,1
147,3349,1991-05-23 00:00:00+00:00,1771200.0,A,09516500,1
148,3350,1991-05-24 00:00:00+00:00,1771200.0,A,09516500,1
149,3351,1991-05-25 00:00:00+00:00,1339200.0,A,09516500,1
150,3352,1991-05-26 00:00:00+00:00,1252800.0,A,09516500,1
151,3353,1991-05-27 00:00:00+00:00,475200.0,A,09516500,1
152,3354,1991-05-28 00:00:00+00:00,388800.0,A,09516500,1
153,3355,1991-05-29 00:00:00+00:00,561600.0,A,09516500,1
154,3356,1991-06-01 00:00:00+00:00,734400.0,A,09516500,1
155,3357,1991-06-02 00:00:00+00:00,1166400.0,A,09516500,1
156,3358,1991-06-03 00:00:00+00:00,2203200.0,A,09516500,1
157,3359,1991-06-04 00:00:00+00:00,9201600.0,A,09516500,1
158,3360,1991-06-05 00:00:00+00:00,11448000.0,A,09516500,1
159,3361,1991-06-06 00:00:00+00:00,6264000.0,A,09516500,1
160,3362,1991-06-07 00:00:00+00:00,7992000.0,A,09516500,1
161,3363,1991-06-08 00:00:00+00:00,13953600.0,A,09516500,1
162,3364,1991-06-09 00:00:00+00:00,38059200.0,A,09516500,1
163,3365,1991-06-10 00:00:00+00:00,27172800.0,A,09516500,1
164,3366,1991-06-11 00:00:00+00:00,19742400.0,A,09516500,1
165,3367,1991-06-12 00:00:00+00:00,17064000.0,A,09516500,1
166,3368,1991-06-13 00:00:00+00:00,9979200.0,A,09516500,1
167,3369,1991-06-14 00:00:00+00:00,12052800.0,A,09516500,1
168,3370,1991-06-15 00:00:00+00:00,12052800.0,A,09516500,1
169,3371,1991-06-16 00:00:00+00:00,12225600.0,A,09516500,1
170,3372,1991-06-17 00:00:00+00:00,10411200.0,A,09516500,1
