,index,datetime,00060_Mean,00060_Mean_cd,site_no,flow_bool
93,22209,1990-04-02 00:00:00+00:00,0.0,A,06774000,0
94,22210,1990-04-03 00:00:00+00:00,0.0,A,06774000,0
95,22211,1990-04-04 00:00:00+00:00,0.0,A,06774000,0
96,22212,1990-04-05 00:00:00+00:00,0.0,A,06774000,0
97,22213,1990-04-06 00:00:00+00:00,0.0,A,06774000,0
98,22214,1990-04-07 00:00:00+00:00,0.0,A,06774000,0
99,22215,1990-04-08 00:00:00+00:00,0.0,A,06774000,0
100,22216,1990-04-09 00:00:00+00:00,0.0,A,06774000,0
101,22217,1990-04-10 00:00:00+00:00,0.0,A,06774000,0
102,22218,1990-04-11 00:00:00+00:00,0.0,A,06774000,0
103,22219,1990-04-12 00:00:00+00:00,0.0,A,06774000,0
104,22220,1990-04-13 00:00:00+00:00,0.0,A,06774000,0
105,22221,1990-04-14 00:00:00+00:00,0.0,A,06774000,0
106,22222,1990-04-15 00:00:00+00:00,0.0,A,06774000,0
107,22223,1990-04-16 00:00:00+00:00,0.0,A,06774000,0
108,22224,1990-04-17 00:00:00+00:00,0.0,A,06774000,0
109,22225,1990-04-18 00:00:00+00:00,0.0,A,06774000,0
110,22226,1990-04-19 00:00:00+00:00,0.0,A,06774000,0
111,22227,1990-04-20 00:00:00+00:00,0.0,A,06774000,0
112,22228,1990-04-21 00:00:00+00:00,0.0,A,06774000,0
113,22229,1990-04-22 00:00:00+00:00,0.0,A,06774000,0
114,22230,1990-04-23 00:00:00+00:00,0.0,A,06774000,0
115,22231,1990-04-24 00:00:00+00:00,0.0,A,06774000,0
116,22232,1990-04-25 00:00:00+00:00,0.0,A,06774000,0
117,22233,1990-04-26 00:00:00+00:00,0.0,A,06774000,0
118,22234,1990-04-27 00:00:00+00:00,0.0,A,06774000,0
119,22235,1990-04-28 00:00:00+00:00,0.0,A,06774000,0
120,22236,1990-04-29 00:00:00+00:00,0.0,A,06774000,0
121,22237,1990-04-30 00:00:00+00:00,0.0,A,06774000,0
122,22238,1990-04-30 00:00:00+00:00,0.0,A,06774000,0
123,22239,1990-05-01 00:00:00+00:00,0.0,A,06774000,0
124,22240,1990-05-02 00:00:00+00:00,0.0,A,06774000,0
125,22241,1990-05-03 00:00:00+00:00,0.0,A,06774000,0
126,22242,1990-05-04 00:00:00+00:00,0.0,A,06774000,0
127,22243,1990-05-05 00:00:00+00:00,0.0,A,06774000,0
128,22244,1990-05-06 00:00:00+00:00,0.0,A,06774000,0
129,22245,1990-05-07 00:00:00+00:00,0.0,A,06774000,0
130,22246,1990-05-08 00:00:00+00:00,0.0,A,06774000,0
131,22247,1990-05-09 00:00:00+00:00,0.0,A,06774000,0
132,22248,1990-05-10 00:00:00+00:00,0.0,A,06774000,0
133,22249,1990-05-11 00:00:00+00:00,0.0,A,06774000,0
134,22250,1990-05-12 00:00:00+00:00,0.0,A,06774000,0
135,22251,1990-05-13 00:00:00+00:00,0.0,A,06774000,0
136,22252,1990-05-14 00:00:00+00:00,0.0,A,06774000,0
137,22253,1990-05-15 00:00:00+00:00,0.0,A,06774000,0
138,22254,1990-05-16 00:00:00+00:00,0.0,A,06774000,0
139,22255,1990-05-17 00:00:00+00:00,0.0,A,06774000,0
140,22256,1990-05-18 00:00:00+00:00,0.0,A,06774000,0
141,22257,1990-05-19 00:00:00+00:00,0.0,A,06774000,0
142,22258,1990-05-20 00:00:00+00:00,0.0,A,06774000,0
143,22259,1990-05-21 00:00:00+00:00,0.0,A,06774000,0
144,22260,1990-05-22 00:00:00+00:00,0.0,A,06774000,0
145,22261,1990-05-23 00:00:00+00:00,0.0,A,06774000,0
146,22262,1990-05-24 00:00:00+00:00,0.0,A,06774000,0
147,22263,1990-05-25 00:00:00+00:00,0.0,A,06774000,0
148,22264,1990-05-26 00:00:00+00:00,0.0,A,06774000,0
149,22265,1990-05-27 00:00:00+00:00,0.0,A,06774000,0
150,22266,1990-05-28 00:00:00+00:00,0.0,A,06774000,0
151,22267,1990-06-01 00:00:00+00:00,0.0,A,06774000,0
152,22268,1990-06-02 00:00:00+00:00,0.0,A,06774000,0
153,22269,1990-06-03 00:00:00+00:00,0.0,A,06774000,0
154,22270,1990-06-04 00:00:00+00:00,0.0,A,06774000,0
155,22271,1990-06-05 00:00:00+00:00,0.0,A,06774000,0
156,22272,1990-06-06 00:00:00+00:00,0.0,A,06774000,0
157,22273,1990-06-07 00:00:00+00:00,0.0,A,06774000,0
158,22274,1990-06-08 00:00:00+00:00,0.0,A,06774000,0
159,22275,1990-06-09 00:00:00+00:00,0.0,A,06774000,0
160,22276,1990-06-10 00:00:00+00:00,0.0,A,06774000,0
161,22277,1990-06-11 00:00:00+00:00,0.0,A,06774000,0
162,22278,1990-06-12 00:00:00+00:00,0.0,A,06774000,0
163,22279,1990-06-13 00:00:00+00:00,0.0,A,06774000,0
164,22280,1990-06-14 00:00:00+00:00,0.0,A,06774000,0
165,22281,1990-06-15 00:00:00+00:00,0.0,A,06774000,0
166,22282,1990-06-16 00:00:00+00:00,0.0,A,06774000,0
167,22283,1990-06-17 00:00:00+00:00,0.0,A,06774000,0
168,22284,1990-06-18 00:00:00+00:00,0.0,A,06774000,0
169,22285,1990-06-19 00:00:00+00:00,0.0,A,06774000,0
170,22286,1990-06-20 00:00:00+00:00,0.0,A,06774000,0
171,22287,1990-06-21 00:00:00+00:00,0.0,A,06774000,0
172,22288,1990-06-22 00:00:00+00:00,0.0,A,06774000,0
173,22289,1990-06-23 00:00:00+00:00,0.0,A,06774000,0
