,State,dataset_ID,analyze_start,analyze_end,analyze_range,quantile,site_no,valid,threshold,hmf_years,annual_hmf,six_mo_hmf,three_mo_hmf,duration,inter_annual,intra_annual,CoM,jan_hmf,feb_hmf,mar_hmf,apr_hmf,may_hmf,jun_hmf,jul_hmf,aug_hmf,sep_hmf,oct_hmf,nov_hmf,dec_hmf,mk_trend,mk_h,mk_p,mk_z,mk_tau,mk_s,mk_var_s,mk_slope,mk_int,dec_lat_va,dec_long_va,data_start,data_end,total_record,HCDN_2009
0,MS,27.0,1990-10-01,2020-09-30,30.0,0.9,02431000,True,1850.0,29.0,0.22113752715723278,0.17427716897933596,0.11537459723349783,36.51724137931034,96.66666666666667,10.068965517241379,193.0,0.03795489655016932,0.055641978333027066,0.03350829868130304,0.03116724500210087,0.0508398398508672,0.02181900555328582,0.0064694447658432,0.01117106394413184,0.0117955523523096,0.0183330060931584,0.0192025598185512,0.0450771350329944,no trend,False,0.3007717594347785,-1.0347797982030915,-0.135632183908046,-59.0,3141.6666666666665,-4.1451506984461536e-08,4.337879512843693e-06,34.26500000,-88.44527780,1928-08-13,2020-09-30,92.1,False
1,MS,28.5,1990-10-01,2020-09-30,30.0,0.95,02431000,True,2936.0000000000036,29.0,0.15397092940423987,0.12157253237418972,0.0840140544230974,18.310344827586206,96.66666666666667,6.379310344827586,188.0,0.031525756963666524,0.06012377852366588,0.02812918042505933,0.023122830145068836,0.048011222123175844,0.024710413017023966,0.01004319261731518,0.007785003388135665,0.00787471115816446,0.013734096486372842,0.015380804934028778,0.0437064410832134,no trend,False,0.3917934361895805,-0.8563694881680758,-0.11264367816091954,-49.0,3141.6666666666665,-5.39719096196e-08,3.1943385144062e-06,34.26500000,-88.44527780,1928-08-13,2020-09-30,92.1,False
2,MS,45.0,1970-10-01,2020-09-30,50.0,0.9,02431000,True,1980.0,49.0,0.2565134600006263,0.2098677496575991,0.12182148736200411,36.46938775510204,98.0,9.571428571428571,189.0,0.05018441513874291,0.050693642043835786,0.053342337123878404,0.03974912659835925,0.04893477302552832,0.0249537113630112,0.0065751717805200005,0.0086934984409728,0.01311119835230016,0.0165694328869104,0.029653783291768925,0.0566801651905344,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.26500000,-88.44527780,1928-08-13,2020-09-30,92.1,False
3,MS,47.5,1970-10-01,2020-09-30,50.0,0.95,02431000,True,3260.0,49.0,0.17705367927006996,0.14597617821923933,0.08545738592676755,18.163265306122447,98.0,6.020408163265306,182.0,0.0379242146312946,0.049764162135703685,0.0500156497137276,0.0364304160226048,0.05460634290430368,0.025811372012832002,0.0086364116782272,0.0063977950534176,0.0084896171454528,0.0100379499554304,0.038129879888150406,0.05923648712556288,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.26500000,-88.44527780,1928-08-13,2020-09-30,92.1,False
4,MS,27.0,1990-10-01,2020-09-30,30.0,0.9,02433500,False,4670.0,27.0,0.42209499304551046,0.3233983232320064,0.2156230458637696,36.44444444444444,90.0,8.407407407407407,190.0,0.0680444166262949,0.1132321764238848,0.07413246233884511,0.06119986400142048,0.12756444898095362,0.0609441968568384,0.0163064260156896,0.0027156988563264,0.0156685688197056,0.0236135316471264,0.0225873291263424,0.10755513087602978,no trend,False,0.9005550912706546,0.12496015936153784,0.01839080459770115,8.0,3138.0,1.7922898200941204e-08,7.677896414998352e-06,34.01138889,-88.51361110,1944-10-01,2020-09-30,76.0,False
5,MS,28.5,1990-10-01,2020-09-30,30.0,0.95,02433500,False,6932.999999999993,25.0,0.30341950395661454,0.2315005563774745,0.1633507052218499,19.72,83.33333333333334,5.6,184.0,0.05225189033728565,0.11796424964254436,0.05233297051511669,0.05539254054618204,0.15917175846282833,0.050048128004104034,0.012385788702840045,0.0,0.008091436975302272,0.01451247449640917,0.018796550606652716,0.13625244262694747,no trend,False,0.5670283920847112,-0.5724334022399462,-0.07586206896551724,-33.0,3125.0,-5.7748669034875033e-08,5.546447290585688e-06,34.01138889,-88.51361110,1944-10-01,2020-09-30,76.0,False
6,MS,45.0,1970-10-01,2020-09-30,50.0,0.9,02433500,False,4680.0,46.0,0.4478036364635466,0.3631090415594588,0.2100076625182514,37.21739130434783,92.0,7.543478260869565,185.0,0.0783463392064512,0.105864088440663,0.12140871662930793,0.0759516441684462,0.11530522351310178,0.038944240034256,0.013069606568014081,0.0026830778490432006,0.013869025127748002,0.021055840794828,0.04326594098129281,0.12174413012112266,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.01138889,-88.51361110,1944-10-01,2020-09-30,76.0,False
7,MS,47.5,1970-10-01,2020-09-30,50.0,0.95,02433500,False,7060.499999999993,42.0,0.3227971581967943,0.26011134906182526,0.1527707886863805,20.428571428571427,84.0,5.357142857142857,178.0,0.05748892644260159,0.08876001998498709,0.09034412432837712,0.06616240887303029,0.13047954374429868,0.050315661040085384,0.011605942747476044,0.0,0.0075455448065474716,0.014840927263491894,0.03424068107107005,0.13069502588553378,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.01138889,-88.51361110,1944-10-01,2020-09-30,76.0,False
8,MS,27.0,1990-10-01,2020-09-30,30.0,0.9,02435020,False,903.1999999999998,19.0,0.14967992095992827,0.11429816349244863,0.07049258888499665,36.63157894736842,63.33333333333333,15.68421052631579,201.0,0.018774857636809347,0.03489878830557726,0.021574501218544515,0.019353309648458692,0.028187308250573292,0.007078711979015426,0.015553370062556929,0.006032195114291137,0.014534126689993343,0.01936990558591402,0.008691392903229976,0.024007785303385595,no trend,False,0.2635417835678311,-1.1180590284244536,-0.1425287356321839,-62.0,2976.6666666666665,-9.670877324533313e-09,1.5159309211502332e-06,34.23555556,-88.69583330,1970-10-01,2020-09-30,50.0,False
9,MS,28.5,1990-10-01,2020-09-30,30.0,0.95,02435020,False,1720.9999999999945,19.0,0.09865777260072622,0.07472923362142686,0.04768427246475376,18.31578947368421,63.33333333333333,10.578947368421053,193.0,0.016326186818178504,0.028209994678365755,0.013927059338866943,0.012866396881467596,0.026061228540491817,0.007352309027243547,0.015180185739237148,0.007589277344436499,0.01736090007611906,0.014233564884137791,0.006485056247900181,0.016913176751157163,no trend,False,0.3499065014728451,-0.9347706631089695,-0.11954022988505747,-52.0,2976.6666666666665,0.0,8.69044022154e-07,34.23555556,-88.69583330,1970-10-01,2020-09-30,50.0,False
