,State,analyze_start,analyze_end,analyze_range,quantile,site_no,valid,threshold,hmf_years,annual_hmf,six_mo_hmf,three_mo_hmf,duration,inter_annual,intra_annual,CoM,jan_hmf,feb_hmf,mar_hmf,apr_hmf,may_hmf,jun_hmf,jul_hmf,aug_hmf,sep_hmf,oct_hmf,nov_hmf,dec_hmf,mk_trend,mk_h,mk_p,mk_z,mk_tau,mk_s,mk_var_s,mk_slope,mk_int,dec_lat_va,dec_long_va,data_start,data_end,total_record,HCDN_2009
0,MS,1970-10-01,2020-09-30,50.0,0.9,02431000,True,1980.0,49.0,0.2565134600006263,0.2098677496575991,0.12182148736200411,36.46938775510204,98.0,9.571428571428571,189.0,0.05018441513874291,0.050693642043835786,0.053342337123878404,0.03974912659835925,0.04893477302552832,0.0249537113630112,0.0065751717805200005,0.0086934984409728,0.01311119835230016,0.0165694328869104,0.029653783291768925,0.0566801651905344,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.26500000,-88.44527780,1928-08-13,2020-09-30,92.1,False
1,MS,1970-10-01,2020-09-30,50.0,0.9,02433500,False,4680.0,46.0,0.4478036364635466,0.3631090415594588,0.2100076625182514,37.21739130434783,92.0,7.543478260869565,185.0,0.0783463392064512,0.105864088440663,0.12140871662930793,0.0759516441684462,0.11530522351310178,0.038944240034256,0.013069606568014081,0.0026830778490432006,0.013869025127748002,0.021055840794828,0.04326594098129281,0.12174413012112266,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.01138889,-88.51361110,1944-10-01,2020-09-30,76.0,False
2,MS,1970-10-01,2020-09-30,50.0,0.9,02435020,False,848.7000000000007,39.0,0.16977214925089354,0.136595480748248,0.0783245440719147,36.58974358974359,78.0,15.512820512820513,195.0,0.027877396324940726,0.029949677656922635,0.031880143431539415,0.02252187923280801,0.028854601465458297,0.007846872390548992,0.010468468611640363,0.005597240583608637,0.012628336086055363,0.011231227460973466,0.014964061371921139,0.030388855548924697,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.23555556,-88.69583330,1970-10-01,2020-09-30,50.0,False
3,MS,1970-10-01,2020-09-30,50.0,0.9,02436500,True,2247.0000000000073,50.0,0.3651842822516608,0.2895799600641979,0.16663063333064979,35.88,100.0,15.78,199.0,0.054489423777366035,0.06314035180383426,0.06656071878582324,0.051217978015525495,0.05906725399992145,0.021440941195712066,0.024766334743795148,0.010963669617058235,0.016373490968898258,0.019389600519061204,0.03392360488027722,0.07410223817996281,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.05916667,-88.62805560,1939-10-01,2020-09-30,81.0,False
4,MS,1970-10-01,2020-09-30,50.0,0.9,02439400,True,3079.0000000000146,49.0,0.29109141149676676,0.24264577050340497,0.13626432183304282,37.285714285714285,98.0,7.8979591836734695,178.0,0.06088743630416532,0.0650559646187798,0.062419132400428505,0.05427231921857825,0.06900594557887738,0.02119570336355457,0.00995336834368887,0.007689586941832214,0.00810844067534853,0.024967303449379065,0.03643822580889693,0.057324488336176094,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.79000000,-88.31527780,1966-07-27,2020-09-30,54.2,False
5,MS,1970-10-01,2017-10-12,47.0,0.9,02441390,False,14700.0,7.0,0.9332637176528641,0.801008833838976,0.41434504429536007,30.0,14.893617021276595,9.142857142857142,191.0,0.25293513522211203,0.164042890375392,0.213586045186752,0.257869062573696,0.18006796020326402,0.012722192840448001,0.146060560110528,0.0,0.0,0.034007400092736,0.045750962714688,0.18165823430832,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.51750000,-88.48944440,1900-10-01,2017-10-12,117.0,False
6,MS,1974-10-01,2020-09-30,46.0,0.9,02443500,False,2578.9999999999964,46.0,0.24774029299868763,0.21641152082411,0.1137836335389327,36.54347826086956,100.0,7.826086956521739,180.0,0.05579458708062908,0.05314137738010966,0.054716953872420614,0.07664654807906426,0.052243916680141,0.013475738108689956,0.013786860965653472,0.005541493612233623,0.010335313737536296,0.022452573298636837,0.013496359245436839,0.04516133800804422,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.51416667,-88.39527780,1928-08-10,2020-09-30,92.1,False
7,MS,1970-10-01,2020-09-30,50.0,0.9,02448000,True,3410.0,46.0,0.29394647832425075,0.25727177902186393,0.1251263832627005,38.891304347826086,92.0,7.260869565217392,186.0,0.067304613672744,0.05668899033804048,0.0701790785532997,0.09400822620218598,0.06564651505671168,0.012061617442963201,0.027579022844990402,0.0162941931379584,0.0290544438202368,0.043549044723072,0.010387460747750401,0.0394551083090304,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.07236110,-88.55877780,1928-08-08,2020-09-30,92.1,False
8,MS,1970-10-01,2020-09-30,50.0,0.9,02448500,True,5190.0,50.0,0.35017884724844045,0.31086335685058214,0.15226311843535567,36.44,100.0,7.02,186.0,0.08143104787824809,0.08288019320442624,0.08427229469023681,0.11664932402313119,0.0676913085299136,0.0208509400928304,0.015932099957114882,0.0046077172787520005,0.028227365364744,0.0326526088840056,0.011949992433666,0.0429845847934752,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.93262870,-88.29781030,1939-03-01,2020-09-30,81.6,False
9,AL,1970-10-01,2020-09-30,50.0,0.9,02378500,False,163.0,35.0,0.022796491918279684,0.011105915132443392,0.004604944493132927,36.22857142857143,70.0,15.114285714285714,261.0,0.002989030276352333,0.0018006796020326402,0.0033562311541439262,0.004754653641992849,0.0019506342948876002,0.00282406176489528,0.0036321679331660804,0.0016001582702628097,0.005784992262651487,0.00258834100705824,0.00147213945725184,0.0014261496621624,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.54547146,-87.79860149,1953-07-01,2020-09-30,67.2,False
10,AL,1990-10-01,2020-09-30,30.0,0.9,02438000,False,1200.0,30.0,0.13717296667622014,0.1118541718733645,0.07427069385720769,36.13333333333333,100.0,12.7,180.0,0.023432756898432,0.029563370368387198,0.017666993861126398,0.020738152960148738,0.03130474963932288,0.010928037439872,0.008608887703332,0.00266187419430912,0.00325149890095296,0.007694480092924801,0.0073356490128096,0.029525461890143264,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.10621294,-87.98947650,1951-01-01,2020-09-30,69.7,False
11,AL,1980-12-01,2011-11-07,31.0,0.9,02442500,False,743.0,16.0,0.10746934782093973,0.08399583165351168,0.0492541530749604,36.3125,51.61290322580645,14.4375,183.0,0.01570287464824409,0.018864239196765314,0.02118677963608158,0.016545986537925602,0.01951121756530525,0.00626975759983104,0.00435245789676096,0.0043100505872928,0.005515396806407041,0.010709068928483521,0.0068239069610544,0.023151191601593353,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.57511416,-88.08336050,1954-08-01,2011-11-07,57.3,False
12,AL,1970-10-01,2020-09-30,50.0,0.9,02446500,False,2090.0,42.0,0.16389434828865598,0.1445093147106144,0.08032049266507199,37.333333333333336,84.0,6.142857142857143,173.0,0.0455333922464688,0.04213871230335236,0.039746058910754826,0.04235593138168896,0.03566387565374909,0.0159190515542016,0.0033823906926768,0.00014679453277440001,0.009419315853024001,0.0234789699920832,0.008209620166272,0.03168902510511898,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.25706249,-87.77640220,1928-09-01,2020-09-30,92.1,False
13,AL,1970-10-01,2015-09-29,45.0,0.9,02450000,True,1670.0,45.0,0.18120154020635523,0.1518665557234829,0.0867745977905856,36.355555555555554,100.0,11.977777777777778,181.0,0.04651072360729064,0.03514322279007792,0.041959964069501976,0.029520812289557646,0.02984396675013454,0.013313448597456,0.0212454503996616,0.0064589594420736,0.008746507577808,0.010807339712924162,0.0113928867936576,0.022889153397161223,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.01204356,-86.73666329,1928-10-01,2015-09-29,87.0,False
14,AL,1970-10-01,2020-09-30,50.0,0.9,02450250,True,385.0,50.0,0.055517251911679756,0.045896485028178356,0.0271013534353425,36.52,100.0,12.24,182.0,0.01055343953956992,0.011106963664820352,0.011715780397415809,0.00786818695670784,0.009226997539549921,0.005887858807422721,0.00431331268802112,0.0005741297281843201,0.004007268328782372,0.00489786948817632,0.0032833043830540797,0.009276817745599096,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.28537757,-87.39890840,1966-10-01,2020-09-30,54.0,False
15,AL,1970-10-01,2020-09-30,50.0,0.9,02453000,False,884.3999999999996,36.0,0.08135101552759443,0.06940815214322844,0.03995098839599416,36.52777777777778,72.0,9.88888888888889,188.0,0.01789112192850018,0.017996275745477575,0.017376747571915336,0.017851457292952063,0.012845799273878598,0.007466904083932735,0.003753101256277635,0.00014336932700966491,0.005248230756757635,0.005102871548303696,0.003842722036953681,0.015067235501519047,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.90843985,-87.25695140,1938-10-01,2020-09-30,82.0,False
16,AL,2009-11-04,2019-10-28,10.0,0.9,02453500,False,9965.0,10.0,0.33450926484743715,0.30441149247759264,0.1883973266504381,36.5,100.0,8.8,183.0,0.1066232914148556,0.0568706485723488,0.06436175707299241,0.0716941779652896,0.045543003793257604,0.0095905761412608,0.017633693249524802,0.0,0.0564424978517568,0.0079146718920864,0.0,0.07911154939738681,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.75760677,-87.17027910,1900-10-01,2019-10-28,119.1,False
17,AL,1970-10-01,2020-09-30,50.0,0.9,02455000,True,1280.0,44.0,0.13347682120440132,0.11315801129287811,0.06344637639276568,36.40909090909091,88.0,11.659090909090908,190.0,0.028242739116487267,0.02637540686173544,0.027299122952140802,0.0221727704921184,0.018533921842561748,0.008320238838405415,0.0106006623310656,0.006992312911153921,0.0100737748116432,0.013460613823494982,0.01276468599467217,0.025692305336248323,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.02454235,-86.57415730,1936-12-01,2020-09-30,83.8,False
18,AL,1970-10-01,2020-09-30,50.0,0.9,02456000,False,300.8000000000002,21.0,0.03882342580371071,0.03105792511778649,0.014952514409119867,33.57142857142857,42.0,12.238095238095237,200.0,0.00818066358547361,0.009198993569833263,0.009358563519196837,0.0068724019261464375,0.0057370099494574054,0.0015786284054558966,0.0014160779261637114,0.0012323401026410876,0.004195333378346879,0.004121501165195903,0.006224297896109951,0.003553863017460939,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.74037995,-86.81249360,1944-01-01,2020-09-30,76.7,False
19,AL,1970-10-01,2020-09-30,50.0,0.9,02456500,False,3597.9999999999927,50.0,0.3725050234641434,0.3177017312283672,0.1678485875690795,36.54,100.0,10.0,188.0,0.0882474648843409,0.07660023205696838,0.08865280665326147,0.07720559265774463,0.05613933522972281,0.04250191038928136,0.023607415208260846,0.007348289653131872,0.03360972035849268,0.037950192506365506,0.03803964442535681,0.054537991699980706,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.70982680,-86.98333050,1928-10-01,2020-09-30,92.0,False
20,AL,1978-06-01,2020-09-30,42.0,0.9,02462000,False,584.8000000000011,43.0,0.06324559374810654,0.0519398884929835,0.028367190002066865,35.97674418604651,102.38095238095238,15.046511627906977,202.0,0.012021666303455168,0.012315546891580369,0.012911319403442966,0.011097009597455064,0.006542274749329008,0.006068852971225622,0.003866001417888033,0.0007794789690320601,0.004216183638835386,0.0026859794017962796,0.0048675696985685055,0.010022611727265606,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.44733226,-87.12221860,1953-10-01,2020-09-30,67.0,False
21,AL,1970-10-01,2020-09-30,50.0,0.9,02464000,False,903.7999999999993,50.0,0.12150376267890137,0.10449429850054642,0.05674719437028555,36.54,100.0,12.52,186.0,0.02403959462325229,0.02334696249250389,0.025778462968995143,0.027817656533877588,0.014916771105425287,0.006496177972570781,0.005997168307720805,0.002221420693827458,0.009904983340548519,0.016367862246072964,0.006370180661600044,0.01567311246000577,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.47928058,-87.59722970,1938-12-01,2020-09-30,81.8,False
22,AL,1970-10-01,2020-09-30,50.0,0.9,02465000,False,19700.0,50.0,1.6053841556295783,1.408371213193056,0.7335665323313242,36.1,100.0,9.7,180.0,0.3882913762873116,0.347903042675328,0.39856890382068483,0.394462734528912,0.21688892217417602,0.11349663959007361,0.05833970597988655,0.008073699302592,0.23714307258912,0.1200534620539968,0.10024843300718402,0.27750072221542177,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.20928528,-87.59000740,1900-10-01,2020-09-30,120.0,False
23,AL,1970-10-01,2019-10-08,49.0,0.9,02467000,True,67800.0,47.0,3.7149688025688716,3.30608356303354,1.5579741023657465,38.04255319148936,95.91836734693877,6.170212765957447,181.0,0.8843363186197384,0.8429748002674222,1.144141054199136,1.0841495826432452,0.699047797949424,0.43304387168448,0.174257343280944,0.0,0.1691073017561088,0.273955296790224,0.2603855402784,0.536896472926912,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.51958077,-87.87834760,1928-08-01,2019-10-08,91.2,False
24,AL,1970-10-01,2020-09-30,50.0,0.9,02467500,True,2410.0,50.0,0.1715998729226181,0.15423554764073436,0.07042076257764442,36.32,100.0,7.4,186.0,0.04229913245136057,0.04018351153263454,0.04141663171856509,0.06427643275081729,0.0303565656942912,0.0154514837831424,0.0105094011797376,0.00023242467689279999,0.0060011003041344005,0.0057096956810376,0.00791548741726848,0.0161238389888128,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.57374714,-88.19335890,1938-10-01,2020-09-30,82.0,False
25,AL,1970-10-01,2020-09-30,50.0,0.9,02469761,True,82800.0,47.0,3.7581014089010942,3.416601106485075,1.5767346518735104,38.765957446808514,94.0,4.851063829787234,175.0,0.8811269871679059,1.099506834838619,1.1821125679134148,1.3489549422257403,0.7019081325953958,0.47561428618905605,0.19246394297088,0.0,0.11857736147443199,0.11042210965363201,0.152992524158208,0.4574317815613178,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.75849066,-88.12917630,1960-10-01,2020-09-30,60.0,False
26,AL,1974-10-01,2020-09-30,46.0,0.9,02469800,True,495.0,46.0,0.0742681409088116,0.06103737947329519,0.030789727758031054,36.47826086956522,100.0,12.565217391304348,203.0,0.015216439540513223,0.014564580730364162,0.017908334946676607,0.013283714990141787,0.007018047261344001,0.0085962179371104,0.00800478742470624,0.0038851619674291206,0.007472086375771585,0.002509207880223744,0.00447711674602176,0.01080259219132848,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.74432470,-88.02250660,1956-10-01,2020-09-30,64.0,False
27,AL,1970-10-01,2020-09-30,50.0,0.9,02471001,True,556.0,50.0,0.05091328604876533,0.029982636524638426,0.014714977554371405,36.32,100.0,13.14,231.0,0.006269044015296719,0.007650506116659486,0.00805278690685152,0.009302858857022976,0.010893296067115392,0.004877656114020481,0.004032144698322462,0.0052387564815988595,0.010781502392382807,0.007007481679540609,0.003982633537191322,0.0062667059572142254,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.80296466,-88.14333550,1951-10-01,2020-09-30,69.0,False
28,MS,1970-10-01,2020-09-30,50.0,0.9,02472000,True,2960.0,50.0,0.3038940417495629,0.2686207834692023,0.13195849866200063,36.44,100.0,8.66,197.0,0.06187453940007966,0.07629645840949441,0.06513096432884018,0.09240104194261921,0.0413447966595072,0.01944538244151552,0.0289796873452128,0.0065078909529984,0.017789050796711038,0.0266432076985536,0.027845087935644,0.03620709392476451,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.70694444,-89.40694440,1938-09-12,2020-09-30,82.1,False
