,analyze_start,analyze_end,analyze_range,quantile,site_no,valid,threshold,hmf_years,annual_hmf,six_mo_hmf,three_mo_hmf,duration,inter_annual,intra_annual,CoM,jan_hmf,feb_hmf,mar_hmf,apr_hmf,may_hmf,jun_hmf,jul_hmf,aug_hmf,sep_hmf,oct_hmf,nov_hmf,dec_hmf,mk_trend,mk_h,mk_p,mk_z,mk_tau,mk_s,mk_var_s,mk_slope,mk_int,dec_lat_va,dec_long_va,data_start,data_end,total_record,State,HCDN_2009
69,10/1/1990,9/30/2020,30,0.9,11176900,FALSE,120,30,0.038384895,0.037636079,0.027929128,36.46666667,100,11.6,155,0.011967767,0.015173312,0.009594725,0.002563467,0.000544363,0.000330288,0,0,0.000154134,0.001587583,0.001060325,0.004377959,no trend,FALSE,0.253526359,-1.141825984,-0.149425287,-65,3141.666667,-6.08E-09,3.90E-07,37.62659915,-121.8830126,4/1/1912,9/30/2020,108.5,CA,FALSE
70,10/1/1990,9/30/2020,30,0.9,11179000,TRUE,245,30,0.064692187,0.063865082,0.044584028,36.36666667,100,8,155,0.020000959,0.028784842,0.020138402,0.006617498,0.001644405,0.000484422,0,0,0,0.002672272,0.000940349,0.006893838,no trend,FALSE,0.335338963,-0.963415674,-0.126436782,-55,3141.666667,-1.09E-08,6.04E-07,37.58715679,-121.960793,10/1/1900,9/30/2020,120,CA,FALSE
71,10/1/1990,9/30/2020,30,0.9,11180500,FALSE,5.086,29,0.001630186,0.001625769,0.001189041,37.79310345,96.66666667,5.482758621,153,0.000706504,0.000711739,0.000441269,0.000149732,2.11E-05,0,0,0,0,4.35E-05,3.01E-05,0.000312923,no trend,FALSE,0.432450424,-0.785005364,-0.103448276,-45,3141.666667,-3.88E-10,2.01E-08,37.6060452,-122.0238504,10/1/1916,9/30/2020,104,CA,FALSE
72,10/1/1990,9/30/2020,30,0.9,11180700,TRUE,187,30,0.072781953,0.07123376,0.05091601,36.5,100,7.633333333,156,0.02485625,0.029900187,0.020151108,0.007924621,0.002964638,0.000934592,0,0,0.000396345,0.002324247,0.002784635,0.010414093,no trend,FALSE,0.568058624,-0.570912992,-0.075862069,-33,3141.666667,-4.80E-09,5.29E-07,37.58576818,-122.0482955,10/1/1958,9/30/2020,62,CA,FALSE
73,10/1/1997,9/30/2020,23,0.9,11181000,FALSE,29.9,23,0.006902077,0.006843072,0.004824179,36.52173913,100,7.782608696,154,0.002164118,0.00305697,0.001998809,0.000810795,6.73E-05,2.32E-05,0,0,0,0.000232547,0.000122628,0.001216519,no trend,FALSE,0.39803569,-0.845134604,-0.130434783,-33,1433.666667,-2.07E-09,7.86E-08,37.68548644,-122.064407,4/1/1940,9/30/2020,80.5,CA,FALSE
74,10/1/1990,9/30/2020,30,0.9,11181040,FALSE,47,30,0.010743435,0.010422518,0.007601331,36.5,100,11.46666667,156,0.003531319,0.003737615,0.002475058,0.000858655,0.000314201,0.00016229,0,0,2.45E-06,0.000412907,0.000360124,0.001774124,no trend,FALSE,0.335338963,-0.963415674,-0.126436782,-55,3141.666667,-2.40E-09,1.71E-07,37.6840977,-122.1399649,10/1/1967,9/30/2020,53,CA,FALSE
75,10/1/1990,9/30/2020,30,0.9,11182500,TRUE,6.31,29,0.001376441,0.001371652,0.001001972,37.75862069,96.66666667,6.275862069,152,0.000551982,0.000592002,0.000399931,0.000145656,1.90E-05,0,0,0,0,1.23E-05,2.29E-05,0.000293434,no trend,FALSE,0.198948101,-1.284554232,-0.167816092,-73,3141.666667,-5.60E-10,2.00E-08,37.772983,-121.9946825,10/1/1952,9/30/2020,68,CA,FALSE
76,10/1/1990,9/30/2020,30,0.9,11456000,FALSE,174,25,0.046536999,0.04620123,0.033967961,36.52,83.33333333,5.76,146,0.019085872,0.014194001,0.012988992,0.0040185,0.002047172,0,0,0,0,0.000205512,0.002933444,0.014747957,no trend,FALSE,0.352265327,0.930204279,0.12183908,53,3125,7.71E-09,2.73E-07,38.51129745,-122.455813,10/1/1929,9/30/2020,91,CA,FALSE
77,10/1/1990,9/30/2020,30,0.9,11458000,FALSE,435,30,0.105060113,0.104730478,0.080250206,36.5,100,5.5,144,0.046558449,0.0409127,0.026382953,0.006969729,0.001977812,0,0,0,0,0,0.003536933,0.027154814,no trend,FALSE,0.253526359,-1.141825984,-0.149425287,-65,3141.666667,-2.54E-08,1.63E-06,38.3682457,-122.3033085,10/1/1929,9/30/2020,91,CA,FALSE
78,10/1/2001,9/30/2020,19,0.9,11458500,FALSE,142,19,0.037123822,0.036953077,0.02841543,36.31578947,100,6.368421053,140,0.011962182,0.013058597,0.008242513,0.00300782,0.000969659,0,0,0,0,0.000335181,0.002833134,0.01458479,no trend,FALSE,0.29391717,-1.049567143,-0.18128655,-31,817,-1.87E-08,6.86E-07,38.32324705,-122.4944258,2/9/1955,9/30/2020,65.6,CA,FALSE
79,10/1/1990,9/30/2020,30,0.9,11459500,TRUE,23.2,30,0.006857466,0.006847916,0.005267771,36.43333333,100,5.566666667,145,0.00281086,0.003085366,0.001610122,0.000631424,1.44E-05,0,0,0.000177132,0,3.32E-05,9.22E-05,0.001302672,no trend,FALSE,0.238992788,-1.177508046,-0.154022989,-67,3141.666667,-1.38E-09,8.19E-08,38.10769775,-122.5799815,10/1/1946,9/30/2020,74,CA,FALSE
80,10/1/1990,9/30/2020,30,0.9,11460000,FALSE,51.3,14,0.013375429,0.013350543,0.010054587,33,46.66666667,6.285714286,144,0.006094311,0.005932783,0.00400365,0.00092735,0.000336159,0,0,0,0,1.22E-05,0.000490049,0.003252037,increasing,TRUE,0.017755246,2.370683119,0.282758621,123,2648.333333,1.15E-09,-1.67E-08,37.96297947,-122.556922,2/22/1951,9/30/2020,69.6,CA,FALSE
