,State,analyze_start,analyze_end,analyze_range,quantile,site_no,valid,threshold,hmf_years,annual_hmf,six_mo_hmf,three_mo_hmf,duration,inter_annual,intra_annual,CoM,jan_hmf,feb_hmf,mar_hmf,apr_hmf,may_hmf,jun_hmf,jul_hmf,aug_hmf,sep_hmf,oct_hmf,nov_hmf,dec_hmf,mk_trend,mk_h,mk_p,mk_z,mk_tau,mk_s,mk_var_s,mk_slope,mk_int,dec_lat_va,dec_long_va,data_start,data_end,total_record,HCDN_2009
0,MS,1970-10-01,2020-09-30,50.0,0.95,02431000,True,3260.0,49.0,0.17705367927006996,0.14597617821923933,0.08545738592676755,18.163265306122447,98.0,6.020408163265306,182.0,0.0379242146312946,0.049764162135703685,0.0500156497137276,0.0364304160226048,0.05460634290430368,0.025811372012832002,0.0086364116782272,0.0063977950534176,0.0084896171454528,0.0100379499554304,0.038129879888150406,0.05923648712556288,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.26500000,-88.44527780,1928-08-13,2020-09-30,92.1,False
1,MS,1970-10-01,2020-09-30,50.0,0.95,02433500,False,7060.499999999993,42.0,0.3227971581967943,0.26011134906182526,0.1527707886863805,20.428571428571427,84.0,5.357142857142857,178.0,0.05748892644260159,0.08876001998498709,0.09034412432837712,0.06616240887303029,0.13047954374429868,0.050315661040085384,0.011605942747476044,0.0,0.0075455448065474716,0.014840927263491894,0.03424068107107005,0.13069502588553378,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.01138889,-88.51361110,1944-10-01,2020-09-30,76.0,False
2,MS,1970-10-01,2020-09-30,50.0,0.95,02435020,False,1750.0,39.0,0.11309138630728616,0.09135387624247533,0.05263211327025378,18.102564102564102,78.0,10.461538461538462,188.0,0.0238567329067824,0.021384599383854,0.02381926640896931,0.0180702257567104,0.0247208983407936,0.0070793410984416,0.0089259231178656,0.0074946764233152,0.012171713342544,0.00804434039603712,0.013123159388304,0.0218861473708332,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.23555556,-88.69583330,1970-10-01,2020-09-30,50.0,False
3,MS,1970-10-01,2020-09-30,50.0,0.95,02436500,True,4380.0,50.0,0.235542103453819,0.18819499485276403,0.10858734109898842,17.9,100.0,10.26,191.0,0.035063604657820095,0.04534399575797198,0.04966059043757952,0.04170373365198372,0.05463297293813391,0.0211663735828992,0.028415227415616,0.0126854942072544,0.0185097032159424,0.01393080116029056,0.029415993317625604,0.05763933615951204,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.05916667,-88.62805560,1939-10-01,2020-09-30,81.0,False
4,MS,1970-10-01,2020-09-30,50.0,0.95,02439400,True,4710.0,48.0,0.1910072111143896,0.15812319695996882,0.0903795588975384,18.958333333333332,96.0,5.8125,172.0,0.04306116877591002,0.05471724026828756,0.0510432114431484,0.03617189987011539,0.06754608781766602,0.02523398018391936,0.010781242907097602,0.0,0.0157559465177856,0.02415748694357376,0.03884672652319872,0.04951304311232936,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.79000000,-88.31527780,1966-07-27,2020-09-30,54.2,False
5,MS,1970-10-01,2017-10-12,47.0,0.95,02441390,False,23400.0,7.0,0.458418355206912,0.40567717664582403,0.23280913876435202,15.142857142857142,14.893617021276595,6.428571428571429,184.0,0.206674469268624,0.07474288293763201,0.0870002264242944,0.12457147156272001,0.07608849948806401,0.0,0.054558634681152005,0.0,0.0,0.010275617294208,0.013823151836256,0.12599864063136001,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.51750000,-88.48944440,1900-10-01,2017-10-12,117.0,False
6,MS,1974-10-01,2020-09-30,46.0,0.95,02443500,False,3859.499999999989,43.0,0.1770769078037747,0.1563072736750274,0.08230948678543672,19.558139534883722,93.47826086956522,5.837209302325581,176.0,0.04691349386174318,0.04792972260328887,0.043244406606669346,0.06322759455191417,0.042504280509341824,0.020825658812186034,0.020494351706966014,0.00226491731193172,0.007295688278887788,0.01954691532668456,0.00788395377689479,0.04903786900062973,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.51416667,-88.39527780,1928-08-10,2020-09-30,92.1,False
7,MS,1970-10-01,2020-09-30,50.0,0.95,02448000,True,5300.0,44.0,0.1713681599767933,0.1494796494363984,0.0688855586639747,20.272727272727273,88.0,3.7045454545454546,179.0,0.05738708875830512,0.05586199219942167,0.04980046706708524,0.0800387780046469,0.0909287277299712,0.0173951521337664,0.017982330264864,0.007046137573171201,0.0313956806971248,0.041069848169548805,0.005229555230088,0.0321398474257728,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.07236110,-88.55877780,1928-08-08,2020-09-30,92.1,False
8,MS,1970-10-01,2020-09-30,50.0,0.95,02448500,True,7940.999999999985,45.0,0.1907517206669311,0.17163722397595801,0.07857764544880891,20.288888888888888,90.0,3.7555555555555555,172.0,0.06028957833894473,0.07495796884000168,0.05677580299367314,0.09481044836036852,0.08367533025695452,0.01658900549128048,0.002148093329598791,0.0,0.040818666413468374,0.014757254379810583,0.003867057308386994,0.02501767412239018,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.93262870,-88.29781030,1939-03-01,2020-09-30,81.6,False
9,AL,1970-10-01,2020-09-30,50.0,0.95,02378500,False,247.59999999999854,35.0,0.017560386855943664,0.008304921662359252,0.003160612114518085,18.2,70.0,8.714285714285714,254.0,0.002898573940051152,0.0018239220697219328,0.0030736995835289483,0.005458079777727687,0.0016067150927267417,0.0025688309262856227,0.004441322957434958,0.001511463790272755,0.007478315733508562,0.0039085022981402585,0.0014030062225309544,0.001514528126144419,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.54547146,-87.79860149,1953-07-01,2020-09-30,67.2,False
