,dataset_ID,analyze_start,analyze_end,analyze_range,quantile,site_no,valid,threshold,hmf_years,annual_hmf,six_mo_hmf,three_mo_hmf,duration,inter_annual,intra_annual,CoM,jan_hmf,feb_hmf,mar_hmf,apr_hmf,may_hmf,jun_hmf,jul_hmf,aug_hmf,sep_hmf,oct_hmf,nov_hmf,dec_hmf,mk_trend,mk_h,mk_p,mk_z,mk_tau,mk_s,mk_var_s,mk_slope,mk_int
0,27.0,1990-10-01,2015-09-30,25,0.9,11447650,True,46200.0,19,2.4155040368027523,2.192505114119677,1.3238549047838652,48.05263157894737,76.0,2.8421052631578947,158.0,0.7302503739337921,1.1115037364122944,0.9195250309247519,1.0940107212566785,0.571560823860768,0.269204862604608,0.0,0.0,0.0,0.0,0.0,0.423855621299712,no trend,False,0.11596344791791391,-1.571944392881608,-0.22666666666666666,-68.0,1816.6666666666667,-2.9106347251633336e-06,6.411662217724e-05
1,28.5,1990-10-01,2015-09-30,25,0.95,11447650,True,67650.0,12,0.8497262694034801,0.800478742470624,0.533108811525696,38.083333333333336,48.0,2.75,165.0,0.5396900997450815,0.333087668534208,0.250515743848608,0.19075949534033282,0.14434795722816,0.013578494281631999,0.0,0.0,0.0,0.0,0.0,0.175266555693768,no trend,False,0.11123108468879894,-1.592684062320265,-0.21333333333333335,-64.0,1564.6666666666667,0.0,0.0
2,45.0,1970-10-01,2015-09-30,45,0.9,11447650,True,49250.0,29,2.739076307494093,2.5776993408173627,1.522799238784181,56.689655172413794,64.44444444444444,3.206896551724138,156.0,0.7367489952527333,0.8997220406908945,0.9267977679949441,0.9108723087428832,0.487571924171304,0.259785546751584,0.0,0.0,0.0,0.0,0.505156685909904,0.7684591850092081,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,47.5,1970-10-01,2015-09-30,45,0.95,11447650,True,69200.0,23,0.7671397184510276,0.7432058272378101,0.4913787425348285,35.47826086956522,51.11111111111111,3.130434782608696,160.0,0.3490134115770831,0.28619177242663907,0.19787359334534405,0.22906063551672,0.10945978993877761,0.003180548210112,0.0,0.0,0.0,0.0,0.13260439460620801,0.237409574568264,NA,NA,NA,NA,NA,NA,NA,NA,NA
